artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
1,2015,2,2,18515,35,1410088830,70,82,939,1,174,45,10,37,97,25,64,4
2,2011,1,1,36843,21,1235005533,321,91,4.607,1,128,73,60,77,3,0,11,4
1,2012,12,5,2420,11,1661187319,0,0,806,0,145,60,43,27,94,0,14,4
1,2018,5,25,5897,19,1374581173,0,0,885,0,150,65,51,55,73,0,14,3
3,2023,6,2,727,16,94186466,17,60,28,1,90,60,13,53,4,0,21,4
1,2013,1,1,33783,26,1788326445,133,92,2.733,1,85,55,42,53,17,0,22,3
1,2012,1,1,26694,13,1840364617,65,82,3.425,4,180,33,38,71,20,0,28,5
1,2023,4,12,356,16,143573775,35,102,8,1,166,57,84,94,11,0,37,9
1,2016,11,25,6518,17,684675814,45,85,238,1,160,71,40,50,16,0,16,22
1,2014,1,1,21335,13,1113838873,328,70,1.378,9,160,65,95,80,5,0,41,16
1,2013,1,1,23389,29,1267333350,54,70,1.089,2,92,70,81,63,4,0,8,4
1,2022,3,19,3202,18,726307468,148,80,226,24,170,56,53,64,11,0,45,6
1,2017,1,6,32181,10,3562543890,33,0,6.808,7,96,83,93,65,58,0,9,8
1,2014,11,17,7124,18,1131090940,60,20,2,0,120,67,40,52,86,0,12,4
2,2023,1,13,592,14,307370144,11,84,6,1,98,70,37,54,6,0,9,8
1,1992,9,21,36724,7,1271293243,146,72,6.807,5,92,53,12,34,1,0,12,4
1,2019,10,18,794,10,265882712,38,25,61,0,150,34,24,56,4,0,11,3
1,2017,3,21,13091,17,841749534,61,96,790,2,94,37,17,47,2,46,11,3
1,2023,5,19,67,8,47956378,7,10,0,0,90,74,36,63,26,0,27,5
1,2016,8,20,21574,30,806397070,112,68,266,1,160,54,54,55,67,0,42,11
1,2019,8,30,19664,16,2132335812,391,73,633,3,120,70,59,75,24,0,9,4
1,2010,1,1,21106,13,1641426668,82,0,2.946,0,109,63,46,85,1,0,9,5
1,2013,9,13,23804,31,2135158446,187,99,4.623,1,129,57,41,66,63,0,12,5
2,2022,12,16,849,22,367316268,27,129,21,7,157,54,75,60,30,0,7,5
1,2021,4,9,2619,12,350381515,47,90,1,0,130,63,49,73,5,0,9,3
1,2022,5,6,9037,42,1264310836,124,133,139,14,107,65,19,72,10,0,13,25
1,2023,7,7,86,11,30343206,3,33,3,0,146,50,67,89,0,0,19,8
1,2020,2,10,1788,14,405136812,1,50,19,0,139,48,37,41,32,0,10,10
1,1968,7,1,15890,14,1145727611,71,37,653,0,116,74,76,70,7,0,13,3
1,2010,7,20,492,36,540654286,4,3,19,0,95,84,52,77,12,0,7,4
4,2023,6,8,773,33,57312735,20,46,21,8,170,62,55,80,15,0,37,7
1,2022,12,19,1154,22,397582059,28,125,11,1,134,81,18,64,3,0,10,11
